order_date,order_count,line_count,total_sales,total_profit,total_qty,avg_discount
2015-03-22,3,5,464.09299999999996,-50.9345,17,0.36
2015-03-23,2,3,945.064,126.9224,11,0.13333333333333333
2015-03-24,2,2,65.38,26.2758,7,0.0
2015-03-25,2,5,459.146,96.6684,21,0.02
2015-03-26,3,5,145.13,30.7658,16,0.08
2015-03-28,3,4,1823.8039999999999,-11.075400000000002,11,0.15000000000000002
2015-03-29,1,1,890.841,-152.7156,3,0.3
2015-03-30,6,9,1170.3220000000001,232.7529,39,0.09444444444444444
2015-03-31,5,9,1959.552,355.1097,29,0.4111111111111111
2015-04-01,2,4,119.88799999999999,26.0896,12,0.05
2015-04-02,3,6,1458.558,407.39619999999996,29,0.06666666666666667
2015-04-03,1,3,233.45,85.6044,7,0.0
2015-04-04,4,8,475.844,105.4521,25,0.025
2015-04-05,5,13,5295.098000000001,253.9044,54,0.03076923076923077
2015-04-06,5,13,1650.69,299.5152,38,0.13076923076923078
2015-04-07,3,5,1021.1700000000001,305.05600000000004,22,0.0
2015-04-08,5,7,1958.75,359.8481,27,0.17142857142857146
2015-04-11,4,9,1915.24,523.2729,37,0.15555555555555556
2015-04-12,3,6,1912.123,152.6581,35,0.125
2015-04-13,2,5,638.576,-384.7942,42,0.3
2015-04-15,1,2,294.71999999999997,108.0,6,0.0
2015-04-16,1,1,39.072,9.768,6,0.2
2015-04-18,2,8,1020.532,169.9374,26,0.1375
2015-04-19,2,3,205.47,87.5664,17,0.0
2015-04-20,2,4,1250.45,-194.4528,16,0.2
2015-04-21,2,2,845.36,5.5755,11,0.1
2015-04-22,1,2,257.752,124.78689999999999,11,0.1
2015-04-23,3,6,643.98,-0.305299999999999,20,0.36666666666666664
2015-04-25,3,6,2379.9939999999997,332.8671,21,0.13333333333333333
2015-04-26,2,4,282.568,40.745,16,0.1
2015-04-28,4,9,2578.476,292.1672,29,0.08888888888888889
2015-04-29,4,6,768.8439999999999,101.6814,16,0.06666666666666667
2015-04-30,2,3,1048.74,276.49559999999997,13,0.0
2015-05-02,2,2,506.12,91.9572,5,0.2
2015-05-03,2,3,72.632,28.8624,13,0.13333333333333333
2015-05-04,4,6,187.43200000000002,58.5624,25,0.06666666666666667
2015-05-05,4,7,260.977,34.5131,15,0.07142857142857142
2015-05-06,2,3,254.456,85.7158,16,0.06666666666666667
2015-05-07,1,4,1091.35,215.8138,12,0.075
2015-05-08,1,1,1799.97,239.996,5,0.4
2015-05-09,2,6,394.48,95.1736,25,0.0
2015-05-10,3,8,2343.799,57.82600000000002,34,0.1625
2015-05-11,5,8,1642.802,-289.6088,32,0.3125
2015-05-12,2,2,734.846,-119.22550000000001,10,0.15
2015-05-13,4,6,898.382,-242.28369999999995,23,0.18333333333333332
2015-05-14,1,1,310.88,23.316,2,0.2
2015-05-16,2,2,289.28,20.85,8,0.1
2015-05-17,1,1,91.68,45.84,3,0.0
2015-05-18,3,4,948.9480000000001,-158.00400000000002,10,0.25
2015-05-19,2,2,91.62,35.6472,14,0.0
2015-05-20,2,7,320.10400000000004,62.058099999999996,32,0.17142857142857143
2015-05-21,4,10,4264.3279999999995,1719.5087,46,0.15
2015-05-22,1,2,180.93,46.580999999999996,3,0.0
2015-05-23,3,7,323.75800000000004,58.050200000000004,23,0.21428571428571427
2015-05-24,1,1,116.28,56.9772,3,0.0
2015-05-25,2,3,119.53999999999999,-183.78379999999999,6,0.4666666666666666
2015-05-26,4,8,1325.718,130.5086,21,0.18125
2015-05-27,3,5,2157.394,111.54079999999999,33,0.24000000000000005
2015-05-28,2,3,221.96800000000002,59.3088,14,0.13333333333333333
2015-05-30,5,8,1924.913,222.0358,27,0.1375
2015-05-31,1,2,773.7,230.9727,6,0.0
2015-06-01,4,11,5188.5199999999995,1576.7509,55,0.009090909090909092
2015-06-02,2,5,738.598,218.36079999999998,16,0.04
2015-06-03,3,5,741.336,96.10860000000001,22,0.2
2015-06-04,2,5,456.272,-6.493199999999999,12,0.08
2015-06-06,5,9,1374.0010000000002,-265.2367,34,0.30000000000000004
2015-06-07,2,2,281.397,-230.33159999999998,6,0.65
2015-06-08,3,4,2501.264,193.365,14,0.15000000000000002
2015-06-09,5,16,5463.008,629.0289,66,0.08750000000000001
2015-06-10,1,1,491.55,240.8595,5,0.0
2015-06-13,1,1,14.52,4.7916,3,0.0
2015-06-14,1,1,212.94,57.4938,3,0.0
2015-06-15,2,4,942.9739999999999,-78.24100000000001,11,0.4
2015-06-16,2,4,763.792,76.6876,20,0.05
2015-06-17,3,5,3418.5020000000004,1126.6297000000002,16,0.08
2015-06-18,1,1,139.8,12.2325,5,0.2
2015-06-20,2,9,1828.9496,-62.9594,32,0.25777777777777783
2015-06-21,7,18,4107.443,849.4221,56,0.19999999999999998
2015-06-22,4,7,1975.498,40.2147,26,0.2714285714285714
2015-06-23,2,3,109.49600000000001,3.1803000000000003,13,0.20000000000000004
2015-06-24,1,1,4.272,0.9612,2,0.2
2015-06-25,2,4,792.76,49.7172,22,0.2
2015-06-27,1,3,616.14,76.1052,10,0.0
2015-06-28,2,6,1645.791,109.76200000000001,24,0.35000000000000003
2015-06-29,2,2,46.68,8.557500000000001,10,0.2
2015-06-30,6,8,739.624,249.5572,38,0.15000000000000002
2015-07-01,2,3,601.0239999999999,75.33319999999999,13,0.3666666666666667
2015-07-02,1,2,79.56,22.1508,3,0.0
2015-07-04,2,4,247.40800000000002,83.9448,14,0.1
2015-07-05,5,10,1444.104,182.7936,41,0.19
2015-07-06,2,2,1038.472,222.84550000000002,3,0.2
2015-07-07,1,2,241.19400000000002,-34.6598,4,0.25
2015-07-08,2,3,763.0740000000001,-8.441999999999993,10,0.16666666666666666
2015-07-09,3,9,265.521,57.2078,30,0.10555555555555557
2015-07-11,4,10,2187.206,537.7298000000001,43,0.06000000000000001
2015-07-12,5,12,1960.012,88.45439999999999,58,0.19166666666666668
2015-07-13,1,1,351.216,4.3902,3,0.2
2015-07-14,5,9,292.594,-31.101399999999998,27,0.2666666666666667
2015-07-15,1,2,9.51,3.9882,6,0.0
2015-07-18,2,2,273.04,-21.3948,6,0.2
2015-07-19,2,5,461.326,103.20620000000001,8,0.1
2015-07-20,5,15,2285.786,162.1881,44,0.16
2015-07-21,3,8,1961.482,34.126000000000005,24,0.3125
2015-07-22,4,8,1348.344,229.8348,31,0.07500000000000001
2015-07-23,3,9,2613.1839999999997,267.4844,43,0.18888888888888888
2015-07-25,2,5,8341.289999999999,384.5084,22,0.0
2015-07-26,5,15,5039.994,-3570.971,76,0.3066666666666667
2015-07-27,3,3,580.06,70.31219999999999,15,0.0
2015-07-28,1,3,193.152,34.6984,18,0.20000000000000004
2015-07-30,1,1,1367.84,259.8896,8,0.0
2015-08-01,3,6,228.328,66.475,15,0.20000000000000004
2015-08-02,1,3,886.28,248.02759999999998,9,0.0
2015-08-03,3,6,477.994,-76.7149,20,0.15
2015-08-04,2,9,2743.154,833.4829,51,0.044444444444444446
2015-08-05,5,12,2408.7239999999997,504.1059,37,0.041666666666666664
2015-08-06,2,2,262.89,106.6392,5,0.0
2015-08-08,5,13,3955.629,1129.1342,55,0.08461538461538462
2015-08-09,6,9,3605.6850000000004,700.8938,35,0.2111111111111111
2015-08-11,2,4,451.62,45.644400000000005,5,0.0
2015-08-12,4,11,1832.38,357.593,61,0.1272727272727273
2015-08-15,4,9,842.7819999999999,118.18260000000001,38,0.2
2015-08-16,1,1,853.092,-227.4912,6,0.4
2015-08-17,2,5,500.342,193.18359999999998,23,0.04
2015-08-19,5,7,1439.106,175.4619,29,0.1857142857142857
2015-08-20,2,4,1838.722,569.8905,18,0.075
2015-08-22,3,3,23.104,4.878699999999999,6,0.13333333333333333
2015-08-23,4,10,565.224,160.4016,44,0.14
2015-08-24,3,4,59.74,20.1332,10,0.1
2015-08-25,5,14,1451.6499999999999,118.84229999999998,67,0.33571428571428574
2015-08-26,3,6,366.81,92.0889,22,0.0
2015-08-27,3,7,2070.13,513.7323,23,0.05714285714285715
2015-08-29,2,5,832.3225,-376.4695,13,0.26999999999999996
2015-08-30,1,2,121.24,21.485,8,0.0
2015-08-31,1,1,92.52,18.504,9,0.0
2015-09-01,3,5,469.436,85.9402,17,0.24000000000000005
2015-09-02,7,9,3254.15,916.2512,28,0.08888888888888889
2015-09-03,2,2,22.08,-4.4639999999999995,10,0.4
2015-09-05,2,2,296.304,21.823,4,0.2
2015-09-06,1,2,100.36,39.6308,14,0.0
2015-09-07,7,25,3523.875,-481.2463,78,0.20800000000000002
2015-09-08,11,27,14228.428,-1452.6877,112,0.15925925925925924
2015-09-09,6,13,4043.5879999999997,16.361600000000088,56,0.16153846153846155
2015-09-10,3,5,1855.2279999999998,259.62080000000003,23,0.08
2015-09-11,1,1,127.95,21.7515,3,0.0
2015-09-12,6,11,4904.66,600.8836,39,0.2
2015-09-13,7,15,1275.408,243.8237,53,0.15333333333333332
2015-09-14,6,19,5023.716,1530.7599,77,0.18947368421052632
2015-09-15,2,3,133.436,30.1722,9,0.06666666666666667
2015-09-16,1,1,33.552,12.582,1,0.2
2015-09-17,5,14,820.523,233.52870000000001,53,0.21428571428571427
2015-09-19,7,9,9338.637,-1539.1441,38,0.23333333333333334
2015-09-20,8,18,5335.968000000001,670.1014,63,0.09444444444444444
2015-09-21,7,16,2679.652,877.4457,55,0.13125
2015-09-22,4,8,1240.266,87.47569999999999,24,0.08750000000000001
2015-09-23,7,12,10662.337000000001,4808.5975,48,0.07916666666666668
2015-09-24,1,1,211.96,8.4784,4,0.0
2015-09-25,2,5,354.88880000000006,-87.5594,16,0.34400000000000003
2015-09-26,8,13,1480.614,230.72660000000002,49,0.25384615384615383
2015-09-27,2,3,773.4399999999999,123.10640000000001,10,0.06666666666666667
2015-09-28,3,4,490.29200000000003,64.3686,17,0.15000000000000002
2015-09-29,5,19,8109.07,890.2809,73,0.10526315789473684
2015-09-30,6,6,987.532,119.4905,26,0.13333333333333333
2015-10-01,1,1,4.71,0.0,1,0.0
2015-10-02,1,7,598.144,133.7632,18,0.2
2015-10-03,5,13,862.683,-65.4279,37,0.2846153846153846
2015-10-04,3,4,728.7479999999999,45.0709,16,0.07500000000000001
2015-10-05,2,2,191.9,46.483000000000004,7,0.1
2015-10-06,4,4,494.71,50.039500000000004,12,0.05
2015-10-07,2,2,237.35999999999999,31.855999999999998,15,0.2
2015-10-08,2,2,147.392,60.7518,7,0.1
2015-10-09,2,3,249.35999999999999,70.0043,6,0.13333333333333333
2015-10-10,5,10,2049.386,169.95260000000002,42,0.38
2015-10-11,5,9,1381.164,110.6138,33,0.06666666666666668
2015-10-12,2,3,58.53,12.877099999999999,8,0.06666666666666667
2015-10-13,4,11,2212.182,454.1033,35,0.018181818181818184
2015-10-14,4,10,4525.484,1059.3591999999999,57,0.22000000000000003
2015-10-15,2,3,206.72400000000002,-0.9321000000000002,5,0.2333333333333333
2015-10-16,1,2,194.322,91.4088,6,0.1
2015-10-17,2,3,136.068,-36.838,10,0.5333333333333333
2015-10-18,4,9,3134.916,606.1102,39,0.08888888888888889
2015-10-19,3,7,641.104,124.5477,27,0.1142857142857143
2015-10-20,3,8,1501.104,-65.9838,20,0.275
2015-10-21,3,6,1356.602,26.062300000000015,20,0.13333333333333333
2015-10-22,2,2,223.808,23.303199999999997,8,0.1
2015-10-24,3,3,56.49,18.5592,8,0.13333333333333333
2015-10-25,2,3,103.882,9.4491,10,0.3666666666666667
2015-10-26,1,2,447.88,41.592,9,0.1
2015-10-27,1,2,22.32,7.6626,5,0.2
2015-10-28,2,6,1510.5819999999999,93.4282,19,0.05833333333333333
2015-10-29,2,3,2813.8120000000004,378.5486,10,0.06666666666666667
2015-10-31,5,19,5362.026,-48.10749999999993,83,0.08947368421052633
2015-11-01,9,20,4732.08,663.3641,81,0.16999999999999998
2015-11-02,6,11,2126.37,286.5754,49,0.20909090909090908
2015-11-03,8,14,2784.163,-108.22129999999999,52,0.17857142857142858
2015-11-04,6,15,6693.7480000000005,2443.392,50,0.1
2015-11-05,4,8,1694.564,-61.611599999999996,31,0.1875
2015-11-06,1,1,43.68,20.9664,6,0.0
2015-11-07,6,14,1449.142,155.4863,57,0.20714285714285713
2015-11-08,1,1,333.576,25.0182,3,0.2
2015-11-09,2,7,1574.094,222.6886,36,0.049999999999999996
2015-11-10,2,12,2002.556,436.6331,49,0.016666666666666666
2015-11-11,9,26,8114.548,-449.5310999999999,93,0.2076923076923077
2015-11-12,5,11,1054.7612,79.634,35,0.2290909090909091
2015-11-14,5,8,1034.73,308.90680000000003,37,0.037500000000000006
2015-11-15,4,8,1780.822,400.0781,29,0.1
2015-11-16,5,10,1355.9285,137.5582,36,0.065
2015-11-17,7,13,11544.274,1954.1346,58,0.08461538461538462
2015-11-18,9,20,3406.855,-347.5227,76,0.36
2015-11-19,7,13,7226.086,1979.1982,51,0.03076923076923077
2015-11-20,1,4,907.5600000000001,251.172,16,0.05
2015-11-21,4,9,1249.622,378.16990000000004,24,0.044444444444444446
2015-11-22,5,8,1103.298,461.8921,30,0.2
2015-11-23,7,12,1363.28,-105.23839999999998,36,0.24166666666666667
2015-11-24,11,19,5578.606,-97.35739999999998,75,0.14736842105263157
2015-11-25,6,16,4415.695,148.62720000000002,58,0.15625
2015-11-26,5,14,1705.99,-62.161199999999994,52,0.14285714285714285
2015-11-27,2,2,203.66,41.296,7,0.0
2015-11-28,7,13,2280.83,12.473200000000002,55,0.057692307692307696
2015-11-29,4,5,649.044,104.6772,13,0.12000000000000002
2015-11-30,3,4,219.154,11.829,24,0.275
2015-12-01,6,12,5624.39,875.1448,46,0.13333333333333333
2015-12-02,6,14,1771.808,111.3749,64,0.19999999999999998
2015-12-03,2,2,505.88,146.8304,8,0.0
2015-12-04,1,1,129.98,62.3904,2,0.0
2015-12-05,7,16,2963.642,425.0408,69,0.19375
2015-12-06,5,11,1970.978,-19.019000000000013,36,0.4181818181818182
2015-12-07,4,4,548.4,201.78320000000002,17,0.0
2015-12-08,4,13,1095.12,125.9273,53,0.19230769230769232
2015-12-09,5,8,1522.652,125.75130000000001,28,0.275
2015-12-10,2,5,573.336,101.14259999999999,20,0.08
2015-12-12,5,9,4938.4045,-72.10079999999999,36,0.17222222222222222
2015-12-13,5,6,293.152,8.731399999999997,18,0.2833333333333333
2015-12-14,5,9,7641.658,2220.5215,23,0.3333333333333333
2015-12-15,4,5,1264.466,-144.732,19,0.27999999999999997
2015-12-16,8,15,4394.187,415.6424,63,0.22
2015-12-17,2,2,45.534,7.1924,7,0.35
2015-12-19,4,12,3436.7599999999998,356.95689999999996,53,0.15833333333333333
2015-12-20,10,24,6962.4400000000005,1557.0102,81,0.14583333333333334
2015-12-21,3,4,1933.44,178.26479999999998,17,0.275
2015-12-22,4,6,798.968,183.12109999999998,32,0.2333333333333333
2015-12-23,4,9,942.108,67.3794,29,0.17777777777777778
2015-12-24,5,11,1950.202,264.308,32,0.09090909090909091
2015-12-26,7,15,2041.414,-3.5973999999999933,55,0.24000000000000002
2015-12-27,9,16,2966.388,-336.32509999999996,65,0.2
2015-12-28,3,6,3732.2960000000003,706.8574,33,0.03333333333333333
2015-12-29,7,16,2072.096,568.0095,67,0.15
2015-12-30,7,13,2172.6510000000003,-594.5496,43,0.2846153846153846
2015-12-31,7,14,5253.2699999999995,1444.5131,63,0.042857142857142864
2016-01-02,2,8,1932.096,-1161.5484,29,0.25
2016-01-03,2,4,1768.2215999999999,-348.45779999999996,19,0.23
2016-01-04,2,3,264.46000000000004,104.67240000000001,22,0.0
2016-01-05,3,6,295.272,62.5086,20,0.10000000000000002
2016-01-06,1,2,31.538,7.8934,7,0.44999999999999996
2016-01-09,1,4,364.07,131.0797,13,0.0
2016-01-10,1,1,1018.104,-373.3048,4,0.4
2016-01-12,2,6,854.614,62.80479999999999,16,0.26666666666666666
2016-01-13,2,4,622.278,160.3086,18,0.05
2016-01-17,3,3,350.384,-300.0494,17,0.26666666666666666
2016-01-19,1,2,301.742,-21.712200000000003,5,0.3
2016-01-23,1,2,43.66,20.8106,5,0.0
2016-01-24,1,1,13.12,2.132,5,0.2
2016-01-26,1,1,182.72,84.0512,8,0.0
2016-01-27,2,4,3573.252,-191.64319999999998,12,0.325
2016-01-28,1,1,4297.644,-1862.3124,13,0.4
2016-01-30,2,3,2161.6400000000003,302.8533,16,0.13333333333333333
2016-01-31,1,3,99.26,38.9066,7,0.0
2016-02-03,5,6,492.836,157.4118,22,0.05000000000000001
2016-02-06,4,9,2432.544,242.1172,34,0.13333333333333336
2016-02-07,1,2,324.10999999999996,152.5909,7,0.0
2016-02-08,2,4,129.09199999999998,-19.1734,8,0.1
2016-02-09,4,5,785.5519999999999,102.3764,19,0.27999999999999997
2016-02-10,1,1,77.24,7.724,5,0.2
2016-02-14,2,7,1079.962,104.53889999999998,23,0.34285714285714286
2016-02-15,2,8,1602.38,477.3456,31,0.05
2016-02-16,2,3,160.43,74.6845,16,0.0
2016-02-18,2,3,105.844,31.6342,6,0.06666666666666667
2016-02-20,2,2,316.78000000000003,77.56439999999999,8,0.0
2016-02-21,2,2,2591.1,1294.0764,6,0.0
2016-02-22,1,1,79.36,20.6336,4,0.0
2016-02-23,1,2,37.775999999999996,10.5336,8,0.1
2016-02-25,1,2,25.869999999999997,11.736,5,0.0
2016-02-27,3,5,1159.2710000000002,52.49029999999999,27,0.24
2016-02-28,1,2,551.264,15.566400000000002,10,0.2
2016-03-01,5,7,1642.1743999999999,12.718199999999989,23,0.18857142857142858
2016-03-02,2,3,899.5699999999999,218.9629,10,0.0
2016-03-05,7,16,1969.267,-417.895,57,0.29375
2016-03-06,1,2,1555.244,473.7518,9,0.1
2016-03-07,1,4,807.54,271.4153,10,0.0
2016-03-08,4,8,2563.2960000000003,592.3805,29,0.125
2016-03-09,2,3,478.008,53.9619,10,0.20000000000000004
2016-03-10,2,2,90.93199999999999,23.2592,8,0.4
2016-03-12,2,4,51.016000000000005,9.998,12,0.2
2016-03-13,2,3,1384.856,234.4744,14,0.06666666666666667
2016-03-14,2,3,707.9000000000001,332.7422,10,0.0
2016-03-15,1,1,16.776,1.6776,3,0.2
2016-03-16,6,10,7230.209999999999,3508.0308999999997,27,0.0
2016-03-17,1,2,48.84,11.834999999999999,3,0.0
2016-03-19,7,13,5652.9396,1982.1858000000002,45,0.08615384615384616
2016-03-20,4,9,1548.194,485.71540000000005,40,0.17777777777777778
2016-03-21,1,3,1270.3790000000001,242.5149,21,0.36666666666666664
2016-03-22,5,10,2481.424,270.79810000000003,43,0.2
2016-03-23,4,6,633.302,181.08280000000002,28,0.049999999999999996
2016-03-24,3,3,412.95,-22.2494,10,0.16666666666666666
2016-03-26,4,6,4623.37,937.2579999999999,30,0.10000000000000002
2016-03-27,1,1,83.7,3.348,5,0.0
2016-03-28,3,5,243.344,59.3424,13,0.08
2016-03-29,5,8,1559.0800000000002,296.8998,30,0.025
2016-03-30,2,3,571.224,-87.9252,14,0.2333333333333333
2016-03-31,2,3,200.716,55.8143,11,0.3333333333333333
2016-04-02,4,6,299.22,-35.82450000000001,23,0.4000000000000001
2016-04-04,2,9,1484.598,384.4765,20,0.05555555555555555
2016-04-05,5,13,2974.058,-243.8141,56,0.3
2016-04-06,2,6,140.004,-0.17039999999999722,25,0.4000000000000001
2016-04-07,3,5,907.436,-1113.9491,23,0.24000000000000005
2016-04-09,3,3,757.992,133.5327,9,0.06666666666666667
2016-04-10,2,3,169.54199999999997,48.696299999999994,9,0.06666666666666667
2016-04-11,3,7,1328.346,423.987,20,0.08571428571428573
2016-04-12,1,1,40.74,0.4074,3,0.0
2016-04-13,8,15,3192.6780000000003,-38.72819999999999,40,0.14666666666666667
2016-04-14,1,1,35.208,2.6406,1,0.2
2016-04-16,5,14,4161.972,815.8418,54,0.18571428571428572
2016-04-17,2,8,2745.106,686.5088999999999,34,0.05
2016-04-18,6,18,2006.96,214.8503,57,0.17222222222222222
2016-04-19,1,2,329.96,-564.9804,6,0.8
2016-04-20,3,5,1194.726,507.1407,16,0.04
2016-04-21,1,4,893.0899999999999,228.89280000000002,13,0.0
2016-04-22,1,2,152.916,24.444300000000002,6,0.1
2016-04-24,1,1,25.99,7.5371,1,0.0
2016-04-25,5,7,920.946,118.58120000000001,23,0.09999999999999999
2016-04-26,4,10,2090.1055,-134.89960000000002,27,0.215
2016-04-27,2,5,2719.59,978.3104999999999,21,0.08
2016-04-28,2,5,4044.3619999999996,1911.4570999999999,14,0.38
2016-04-29,1,1,7.968,2.8884,2,0.2
2016-04-30,4,9,1571.695,-170.3311,40,0.1
2016-05-01,3,7,450.94,66.2234,21,0.14285714285714285
2016-05-02,1,2,167.232,16.8468,6,0.2
2016-05-03,4,13,2198.76,255.4643,45,0.16153846153846155
2016-05-04,4,4,1121.362,157.50220000000002,23,0.2
2016-05-07,2,3,305.622,-4.981000000000002,8,0.16666666666666666
2016-05-08,5,11,3981.968,1241.9831,36,0.06363636363636364
2016-05-09,1,1,48.81,23.9169,3,0.0
2016-05-10,2,3,154.442,-190.8586,11,0.4000000000000001
2016-05-11,1,1,191.968,16.7972,7,0.2
2016-05-12,5,8,1060.35,147.6039,34,0.175
2016-05-13,1,2,238.384,22.278799999999997,6,0.2
2016-05-14,3,12,3141.1994999999997,320.8918,46,0.24583333333333332
2016-05-15,2,2,69.908,-1.6029999999999998,5,0.1
2016-05-16,1,1,255.968,31.996,4,0.2
2016-05-17,2,4,134.46800000000002,-13.745200000000004,22,0.25
2016-05-18,1,1,10.86,5.3214,2,0.0
2016-05-20,1,2,169.54399999999998,15.479199999999999,8,0.44999999999999996
2016-05-21,3,3,72.332,-62.22239999999999,14,0.5666666666666667
2016-05-22,1,4,3862.0980000000004,425.8189,22,0.1
2016-05-23,4,6,1304.956,367.8272,31,0.16666666666666666
2016-05-24,1,2,610.3069999999999,-176.59189999999998,13,0.55
2016-05-25,5,8,1739.4180000000001,265.8343,36,0.125
2016-05-26,3,8,982.5640000000001,9.36,23,0.225
2016-05-28,4,9,794.146,244.0794,30,0.022222222222222223
2016-05-29,4,8,1204.842,166.11509999999998,31,0.1375
2016-05-30,2,4,681.1,87.6252,12,0.0
2016-05-31,8,17,5178.138,1228.906,76,0.11764705882352941
2016-06-01,3,7,834.1980000000001,300.47860000000003,37,0.14285714285714285
2016-06-04,3,6,1192.31,464.8084,16,0.0
2016-06-05,2,2,1533.1979999999999,173.934,11,0.05
2016-06-07,2,4,59.768,0.49799999999999867,17,0.32499999999999996
2016-06-08,2,9,1083.112,-296.34939999999995,40,0.3222222222222222
2016-06-09,4,7,797.116,86.0064,25,0.2571428571428571
2016-06-11,2,13,3373.5640000000003,-60.60040000000001,47,0.2
2016-06-12,4,5,174.476,27.745800000000003,15,0.12000000000000002
2016-06-13,5,10,1128.898,395.69410000000005,28,0.04
2016-06-14,1,1,51.072,5.1072,6,0.2
2016-06-15,3,6,734.144,-20.1443,18,0.20000000000000004
2016-06-16,3,6,3443.904,1173.3926,15,0.18333333333333335
2016-06-18,5,14,1883.087,344.1388,46,0.2214285714285714
2016-06-19,4,6,446.346,101.6172,15,0.20000000000000004
2016-06-20,3,4,829.544,255.459,18,0.15000000000000002
2016-06-21,1,1,107.976,37.7916,3,0.2
2016-06-22,3,3,2018.953,-66.72129999999999,13,0.2333333333333333
2016-06-23,3,7,836.9580000000001,154.5192,19,0.08571428571428573
2016-06-25,4,10,857.08,88.38629999999999,37,0.24
2016-06-26,4,7,1592.1960000000001,308.0027,30,0.05714285714285715
2016-06-28,3,6,1386.466,-225.4028,22,0.18333333333333335
2016-06-29,4,4,432.92600000000004,87.1955,8,0.07500000000000001
2016-07-02,5,13,1631.902,-50.82449999999999,46,0.2846153846153846
2016-07-03,2,5,823.982,179.01670000000001,17,0.12000000000000002
2016-07-04,3,3,1138.288,297.9044,9,0.06666666666666667
2016-07-05,4,7,121.646,8.635100000000001,23,0.24285714285714285
2016-07-06,4,7,1379.812,275.76300000000003,24,0.028571428571428574
2016-07-08,1,1,21.12,6.6,5,0.2
2016-07-09,5,14,1587.114,416.8136,54,0.1
2016-07-10,2,2,43.286,10.73,5,0.44999999999999996
2016-07-11,3,11,1941.952,268.62969999999996,52,0.2545454545454545
2016-07-12,2,8,2052.567,140.7015,32,0.3375
2016-07-13,3,5,2033.2559999999999,282.9552,25,0.22000000000000003
2016-07-14,1,4,860.9159999999999,-200.0,15,0.325
2016-07-16,3,7,3029.386,203.53549999999998,36,0.05714285714285715
2016-07-17,3,4,448.082,-2.536199999999999,14,0.1875
